Traded Company,No. of Transactions,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
Machhapuchhre Bank Limited,71,357.00,350.00,353.00,17780.00,6281355.00,360.00,-7.00
Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,11,1170.00,1148.00,1170.00,323.00,375656.00,1193.00,-23.00
Manjushree Finance Ltd.,7,165.00,159.00,159.00,1400.00,225100.00,165.00,-6.00
Mero Microfinance Bittiya Sanstha Ltd.,99,2250.00,2214.00,2227.00,2418.00,5417129.00,2253.00,-26.00
Mirmire Microfinance Development Bank Ltd.,8,2350.00,2310.00,2310.00,310.00,717995.00,2350.00,-40.00
Miteri Development Bank Limited,4,546.00,530.00,546.00,812.00,440232.00,533.00,13.00
Mithila LaghuBitta Bikas Bank Ltd.,5,1335.00,1325.00,1325.00,266.00,354268.00,1330.00,-5.00
Muktinath Bikas Bank Ltd.,57,994.00,980.00,981.00,9314.00,9164620.00,990.00,-9.00
Nabil Balance Fund 1,1,20.75,20.75,20.75,1498.00,31083.50,21.17,-0.42
Nabil Bank Limited,78,1650.00,1600.00,1610.00,4650.00,7517602.00,1635.00,-25.00
NABIL Bank Limited Promotor Share,19,1265.00,1235.00,1236.00,2670.00,3328350.00,1240.00,-4.00
Nabil Equity Fund,8,10.02,9.87,10.00,11187.00,111768.56,10.10,-0.10
NagBeli LaghuBitta Bikas Bank Ltd.,12,3340.00,3260.00,3260.00,450.00,1482590.00,3300.00,-40.00
National Hydro Power Company Limited,364,154.00,142.00,154.00,335478.00,50361962.00,140.00,14.00
National Life Insurance Co. Ltd.,132,2102.00,2060.00,2060.00,11371.00,23608271.00,2082.00,-22.00
Naya Nepal Laghubitta Bikas Bank Ltd.,5,2450.00,2400.00,2420.00,320.00,775680.00,2400.00,20.00
NB Insurance Co. Ltd.,57,1240.00,1205.00,1230.00,6760.00,8310797.00,1203.00,27.00
Neco Insurance Co. Ltd.,209,1184.00,1146.00,1150.00,23874.00,27849229.00,1170.00,-20.00
Nepal Bangladesh Bank Limited,65,412.00,401.00,403.00,11451.00,4611989.00,409.00,-6.00
Nepal Bank Limited,42,376.00,370.00,371.00,8570.00,3188370.00,375.00,-4.00
Nepal Community Development Bank Ltd.,10,332.00,319.00,320.00,2126.00,688550.00,326.00,-6.00
Nepal Credit And Commercial Bank Limited,94,386.00,380.00,380.00,34169.00,13037935.00,385.00,-5.00
Nepal Doorsanchar Comapany Limited,33,677.00,666.00,671.00,7950.00,5339540.00,671.00,0.00
Nepal Grameen Bikas Bank  Ltd.,11,780.00,760.00,780.00,2500.00,1935400.00,770.00,10.00
Nepal Insurance Co. Ltd.,107,1613.00,1575.00,1575.00,14493.00,23090265.00,1585.00,-10.00
Nepal Investment Bank Limited,192,790.00,774.00,774.00,12394.00,9667086.00,786.00,-12.00
Nepal Investment Bank Ltd. Promoter Share,19,680.00,675.00,680.00,22675.00,15315505.00,683.00,-3.00
Nepal Life Insurance Co. Ltd.,614,2335.00,2302.00,2311.00,27144.00,62769959.00,2302.00,9.00
Nepal SBI Bank Limited,35,949.00,930.00,940.00,6695.00,6322311.00,948.00,-8.00
Nerude Laghubita Bikas Bank Limited,24,1400.00,1351.00,1360.00,2272.00,3095100.00,1373.00,-13.00
Ngadi Group Power Ltd.,24,264.00,254.00,260.00,319.00,82501.00,269.00,-9.00
NIBL Samriddhi Fund 1,2,12.34,12.30,12.34,7608.00,93682.72,12.35,-0.01
NIC Asia Bank Ltd.,151,470.00,456.00,460.00,25111.00,11591188.00,466.00,-6.00
Nirdhan Utthan Bank Limited,30,2105.00,2082.00,2100.00,3784.00,7923530.00,2081.00,19.00
NLG Insurance Company Ltd.,60,1670.00,1625.00,1660.00,6310.00,10398419.00,1659.00,1.00
NMB  Microfinance Bittiya Sanstha Ltd.,23,2950.00,2895.00,2929.00,458.00,1340222.00,2944.00,-15.00
NMB Bank Limited,103,552.00,537.00,550.00,19509.00,10621449.00,552.00,-2.00
NMB Bank Limited Promoter Share,1,266.00,266.00,266.00,13091.00,3482206.00,265.00,1.00
NMB Hybrid Fund L-1,14,10.05,9.85,10.00,31250.00,312177.66,9.85,0.15
NMB Sulav Investment Fund-1,5,13.40,13.00,13.22,83000.00,1099350.00,13.17,0.05
Om Development Bank Ltd.,52,430.00,416.00,418.00,10786.00,4519389.00,423.00,-5.00
Oriental Hotels Limited,10,719.00,701.00,702.00,3776.00,2662098.00,710.00,-8.00
Pokhara Finance Ltd.,25,255.00,246.00,255.00,8995.00,2250653.00,256.00,-1.00
Prabhu  Bank Limited,145,406.00,398.00,399.00,33649.00,13474788.00,404.00,-5.00
Prabhu Insurance Ltd.,195,1199.00,1142.00,1164.00,32122.00,37664525.00,1161.00,3.00
Premier Insurance Co. Ltd.,86,1825.00,1770.00,1770.00,16381.00,29438166.00,1785.00,-15.00
Prime Commercial Bank Ltd.,126,427.00,420.00,425.00,26437.00,11220559.00,427.00,-2.00
Prime Life Insurance Company Limited,72,2725.00,2680.00,2725.00,9813.00,26503642.00,2700.00,25.00
ProgressiveFinance Limited,9,205.00,202.00,202.00,980.00,199820.00,207.00,-5.00
Prudential Insurance Co. Ltd.,88,1598.00,1540.00,1550.00,13375.00,21067523.00,1570.00,-20.00
Purnima Bikas Bank Ltd.,1,310.00,310.00,310.00,200.00,62000.00,311.00,-1.00
Rastriya Beema Company Limited,50,15950.00,14700.00,15950.00,1104.00,16555110.00,14500.00,1450.00
Rastriya Beema Company Limited Promoter Share,58,13970.00,12805.00,13970.00,1474.00,19856232.00,12700.00,1270.00
Reliable Microfinance Bittiya Sanstha Ltd.,20,2040.00,1980.00,2021.00,842.00,1701122.00,2020.00,1.00
Reliance Finance Ltd.,19,217.00,211.00,212.00,3662.00,788518.00,220.00,-8.00
Ridi Hydropower Development Company Ltd.,64,203.00,196.00,196.00,8936.00,1773301.00,201.00,-5.00
RSDC Laghubitta Bittiya Sanstha Ltd.,107,3150.00,2843.00,3042.00,1723.00,5258642.00,3110.00,-68.00
Rural Microfinance Development Centre Ltd.,21,801.00,796.00,800.00,1252.00,1000652.00,800.00,0.00
Sagarmatha Insurance Co. Ltd.,52,1695.00,1645.00,1662.00,4969.00,8270900.00,1660.00,2.00
Sana Kisan Bikas Bank Ltd,25,1601.00,1581.00,1585.00,2161.00,3439209.00,1585.00,0.00
Sanima Bank Limited,226,433.00,423.00,425.00,65363.00,27812220.00,430.00,-5.00
Sanima Mai Hydropower Ltd.,513,1110.00,1085.00,1105.00,80105.00,87951474.00,1100.00,5.00
Saptakoshi Development Bank Ltd.,24,196.00,196.00,196.00,592.00,116032.00,199.00,-3.00
Shangrila Development Bank Ltd.,5,420.00,406.00,420.00,742.00,306404.00,405.00,15.00
Shikhar Insurance Co. Ltd.,67,2105.00,2073.00,2089.00,7721.00,16098215.00,2095.00,-6.00
Shine Resunga Development Bank Ltd.,20,427.00,412.00,415.00,2188.00,915469.00,427.00,-12.00
Shree Investment Finance Co. Ltd.,30,400.00,392.00,394.00,13819.00,5474208.00,395.00,-1.00
Shrijana Finance  (Bittaya Sanstha),1,499.00,499.00,499.00,20.00,9980.00,490.00,9.00
Siddhartha Bank Limited,50,485.00,476.00,478.00,6748.00,3235179.00,485.00,-7.00
Siddhartha Equity Orineted Scheme,9,12.30,12.20,12.20,32000.00,392100.00,12.30,-0.10
Siddhartha Insurance Ltd.,84,1669.00,1617.00,1658.00,13376.00,22156791.00,1650.00,8.00
Siddhartha Investment Growth Scheme-1,2,25.00,24.50,24.50,1500.00,37000.00,24.54,-0.04
Soaltee Hotel Limited,9,369.00,364.00,365.00,3110.00,1137440.00,370.00,-5.00
Standard Chartered Bank Limited,261,2389.00,2313.00,2342.00,6668.00,15656805.00,2360.00,-18.00
Summit Micro Finance Development Bank Ltd.,16,3347.00,3249.00,3249.00,1240.00,4097638.00,3350.00,-101.00
Sunrise Bank Limited,45,390.00,384.00,390.00,4503.00,1745281.00,392.00,-2.00
Sunrise Bank Ltd Promoter Share,1,370.00,370.00,370.00,28861.00,10678570.00,370.00,0.00
Surya Life Insurance Company Limited,59,1259.00,1224.00,1230.00,6903.00,8535690.00,1249.00,-19.00
Swabalamban Bikas Bank Limited,9,1897.00,1878.00,1879.00,417.00,786379.00,1900.00,-21.00
Swarojgar Laghu Bitta Bikas Bank Ltd.,3,1813.00,1778.00,1778.00,350.00,624450.00,1850.00,-72.00
Synergy Finance Ltd.,7,159.00,156.00,157.00,2782.00,435242.00,159.00,-2.00
Synergy Power Development Ltd.,84,250.00,242.00,250.00,5596.00,1359019.00,246.00,4.00
Taragaon Regency Hotel Limited,9,275.00,274.00,274.00,2830.00,775500.00,274.00,0.00
Tinau Development Bank Limited,3,330.00,329.00,329.00,1439.00,473931.00,335.00,-6.00
Uniliver Nepal Limited,2,29000.00,29000.00,29000.00,110.00,3190000.00,29000.00,0.00
United Finance Ltd.,9,262.00,248.00,262.00,295.00,74705.00,245.00,17.00
United Insurance Co. (Nepal) Ltd.,111,1630.00,1586.00,1586.00,14611.00,23431238.00,1583.00,3.00
United Modi Hydropower Ltd.,77,340.00,334.00,337.00,1995.00,672194.00,336.00,1.00
Vijaya laghubitta Bittiya Sanstha Ltd.,28,1450.00,1410.00,1433.00,1265.00,1812289.00,1440.00,-7.00
Womi Microfinance Bittiya Sanstha Ltd.,23,1969.00,1925.00,1935.00,1206.00,2351662.00,1967.00,-32.00
World Merchant Banking & Finance Ltd.,8,140.00,136.00,136.00,2378.00,325908.00,140.00,-4.00
